TP	FP	FN	TN	TPR	FPR	Acc
151	477	0	634	1.0000	0.4293	0.2404
151	468	0	643	1.0000	0.4212	0.2439
151	450	0	661	1.0000	0.4050	0.2512
151	440	0	671	1.0000	0.3960	0.2555
151	421	0	690	1.0000	0.3789	0.2640
151	400	0	711	1.0000	0.3600	0.2740
151	386	0	725	1.0000	0.3474	0.2812
151	372	0	739	1.0000	0.3348	0.2887
151	349	0	762	1.0000	0.3141	0.3020
151	339	0	772	1.0000	0.3051	0.3082
151	319	0	792	1.0000	0.2871	0.3213
151	308	0	803	1.0000	0.2772	0.3290
151	292	0	819	1.0000	0.2628	0.3409
151	283	0	828	1.0000	0.2547	0.3479
151	272	0	839	1.0000	0.2448	0.3570
151	253	0	858	1.0000	0.2277	0.3738
151	231	0	880	1.0000	0.2079	0.3953
151	215	0	896	1.0000	0.1935	0.4126
151	200	0	911	1.0000	0.1800	0.4302
151	187	0	924	1.0000	0.1683	0.4467
151	180	0	931	1.0000	0.1620	0.4562
151	169	0	942	1.0000	0.1521	0.4719
151	162	0	949	1.0000	0.1458	0.4824
151	148	0	963	1.0000	0.1332	0.5050
151	141	0	970	1.0000	0.1269	0.5171
151	133	0	978	1.0000	0.1197	0.5317
151	124	0	987	1.0000	0.1116	0.5491
150	113	1	998	0.9934	0.1017	0.5703
150	108	1	1003	0.9934	0.0972	0.5814
150	101	1	1010	0.9934	0.0909	0.5976
149	90	2	1021	0.9868	0.0810	0.6234
148	82	3	1029	0.9801	0.0738	0.6435
147	75	4	1036	0.9735	0.0675	0.6622
146	69	5	1042	0.9669	0.0621	0.6791
145	65	6	1046	0.9603	0.0585	0.6905
144	64	7	1047	0.9536	0.0576	0.6923
143	59	8	1052	0.9470	0.0531	0.7079
142	54	9	1057	0.9404	0.0486	0.7245
142	52	9	1059	0.9404	0.0468	0.7320
140	48	11	1063	0.9272	0.0432	0.7447
139	45	12	1066	0.9205	0.0405	0.7554
133	43	18	1068	0.8808	0.0387	0.7557
133	42	18	1069	0.8808	0.0378	0.7600
130	40	21	1071	0.8609	0.0360	0.7647
128	37	23	1074	0.8477	0.0333	0.7758
122	34	29	1077	0.8079	0.0306	0.7821
121	30	30	1081	0.8013	0.0270	0.8013
118	25	33	1086	0.7815	0.0225	0.8252
115	20	36	1091	0.7616	0.0180	0.8519
111	17	40	1094	0.7351	0.0153	0.8672
104	16	47	1095	0.6887	0.0144	0.8667
99	14	52	1097	0.6556	0.0126	0.8761
98	10	53	1101	0.6490	0.0090	0.9074
93	7	58	1104	0.6159	0.0063	0.9300
89	7	62	1104	0.5894	0.0063	0.9271
81	5	70	1106	0.5364	0.0045	0.9419
75	5	76	1106	0.4967	0.0045	0.9375
68	4	83	1107	0.4503	0.0036	0.9444
63	4	88	1107	0.4172	0.0036	0.9403
60	2	91	1109	0.3974	0.0018	0.9677
53	2	98	1109	0.3510	0.0018	0.9636
48	1	103	1110	0.3179	0.0009	0.9796
43	1	108	1110	0.2848	0.0009	0.9773
41	0	110	1111	0.2715	0.0000	1.0000
39	0	112	1111	0.2583	0.0000	1.0000
35	0	116	1111	0.2318	0.0000	1.0000
31	0	120	1111	0.2053	0.0000	1.0000
28	0	123	1111	0.1854	0.0000	1.0000
24	0	127	1111	0.1589	0.0000	1.0000
23	0	128	1111	0.1523	0.0000	1.0000
20	0	131	1111	0.1325	0.0000	1.0000
16	0	135	1111	0.1060	0.0000	1.0000
13	0	138	1111	0.0861	0.0000	1.0000
11	0	140	1111	0.0728	0.0000	1.0000
8	0	143	1111	0.0530	0.0000	1.0000
6	0	145	1111	0.0397	0.0000	1.0000
5	0	146	1111	0.0331	0.0000	1.0000
1	0	150	1111	0.0066	0.0000	1.0000
1	0	150	1111	0.0066	0.0000	1.0000
1	0	150	1111	0.0066	0.0000	1.0000
1	0	150	1111	0.0066	0.0000	1.0000
